mode,episode_index,steps,total_reward,mean_reward,termination_reason,peak_target_score,peak_effective_target_score,mean_effective_target_score,final_hold,overall_hold,max_in_target_streak,first_near_step,near_target_fraction,near_fast_fraction,mean_angular_speed_near,max_angular_speed_near,max_abs_cart_x,mean_abs_action,saturated_action_fraction,pre_switch_peak_target_score,pre_switch_peak_effective_target_score,pre_switch_final_hold,pre_switch_overall_hold,pre_switch_near_target_fraction,pre_switch_near_fast_fraction,pre_switch_mean_angular_speed_near,pre_switch_max_in_target_streak,post_switch_peak_target_score,post_switch_peak_effective_target_score,post_switch_final_hold,post_switch_overall_hold,post_switch_near_target_fraction,post_switch_near_fast_fraction,post_switch_mean_angular_speed_near,post_switch_max_in_target_streak,focus_peak_target_score,focus_peak_effective_target_score,focus_final_hold,focus_overall_hold,focus_near_target_fraction,focus_near_fast_fraction,focus_mean_angular_speed_near,focus_max_in_target_streak
down_to_up,0,1000,-5.8699046638878105,-0.005869904663887813,max_steps,7.959300750739359e-07,7.959300750739359e-07,7.08682189602075e-07,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.12812126144008015,0.00613209316819848,0.0,7.959300750739359e-07,7.959300750739359e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.959300750739359e-07,7.959300750739359e-07,0.0,0.0,0.0,0.0,0.0,0
down_to_up,1,1000,-6.257828791586469,-0.006257828791586471,max_steps,7.236743701888333e-07,7.236743701888333e-07,6.899239386651023e-07,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.13813924428940755,0.004676738320515142,0.0,7.236743701888333e-07,7.236743701888333e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.236743701888333e-07,7.236743701888333e-07,0.0,0.0,0.0,0.0,0.0,0
down_to_up,2,1000,-5.905316020045879,-0.005905316020045882,max_steps,7.110858789758797e-07,7.110858789758797e-07,6.843648678110803e-07,0.0,0.0,0,,0.0,0.0,0.0,0.0,0.13594927465984963,0.004091981638688594,0.0,7.110858789758797e-07,7.110858789758797e-07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.110858789758797e-07,7.110858789758797e-07,0.0,0.0,0.0,0.0,0.0,0
capture_vertical,0,1000,-81.93609125319371,-0.08193609125319369,max_steps,0.9987362715633624,0.9570956787378302,0.08401154850271912,0.0,0.044,44,0,0.073,0.073,1.8844006666835411,3.91917590391058,0.5507004490454107,0.053424545026413396,0.005,0.9987362715633624,0.9570956787378302,0.0,0.044,0.073,0.073,1.8844006666835411,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9987362715633624,0.9570956787378302,0.0,0.044,0.073,0.073,1.8844006666835411,44
capture_vertical,1,1000,-85.37997503428483,-0.08537997503428477,max_steps,0.9988478465824634,0.7478373045899024,0.056220516488351635,0.0,0.032,32,0,0.057,0.057,2.615824660510342,4.7440883401493235,0.333692434899337,0.020707301141999777,0.002,0.9988478465824634,0.7478373045899024,0.0,0.032,0.057,0.057,2.615824660510342,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9988478465824634,0.7478373045899024,0.0,0.032,0.057,0.057,2.615824660510342,32
capture_vertical,2,1000,80.63935031564569,0.0806393503156458,max_steps,0.9913153250803162,0.9863162640942134,0.12107383530880854,0.0,0.081,81,0,0.102,0.02,1.1589120683100536,2.861792748692018,0.5235559504100568,0.04482316303206608,0.003,0.9913153250803162,0.9863162640942134,0.0,0.081,0.102,0.02,1.1589120683100536,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9913153250803162,0.9863162640942134,0.0,0.081,0.102,0.02,1.1589120683100536,81
fold_to_up,0,1000,-780.0532366375112,-0.7800532366375117,max_steps,0.9999997317281478,0.9999997317281478,0.12893171589976826,0.0,0.13,130,0,0.134,0.009,0.8653642399510195,1.5987930636985286,0.3752175687612892,0.015142759354843292,0.0,0.9999997317281478,0.9999997317281478,0.8461538461538461,0.9701492537313433,1.0,0.06716417910447761,0.8653642399510195,130,0.007975861748680991,0.007975861748680991,0.0,0.0,0.0,0.0,0.0,0,0.007975861748680991,0.007975861748680991,0.0,0.0,0.0,0.0,0.0,0
fold_to_up,1,1000,-1022.2052311757501,-1.0222052311757488,max_steps,0.9999997990701209,0.9999997990701209,0.06596735439665498,0.0,0.066,66,0,0.066,0.0,0.8057045102852617,1.1718157103809987,0.2998365914025308,0.014537008392813732,0.0,0.9999997990701209,0.9999997990701209,1.0,1.0,1.0,0.0,0.8057045102852617,66,0.018862458456211012,0.018862458456211012,0.0,0.0,0.0,0.0,0.0,0,0.018862458456211012,0.018862458456211012,0.0,0.0,0.0,0.0,0.0,0
fold_to_up,2,1000,-895.1517526625271,-0.8951517526625284,max_steps,0.9981260730661335,0.9981260730661335,0.09879996766434508,0.0,0.08,80,0,0.087,0.015,1.1683032730308647,1.653961987758324,0.2926704942699911,0.01598704941435426,0.0,0.9981260730661335,0.9981260730661335,0.0,0.6896551724137931,0.75,0.12931034482758622,1.1683032730308647,80,0.0023820119762324597,0.0023820119762324597,0.0,0.0,0.0,0.0,0.0,0,0.0023820119762324597,0.0023820119762324597,0.0,0.0,0.0,0.0,0.0,0
up_to_fold,0,1000,-1274.076539362695,-1.274076539362694,max_steps,0.9999362342866681,0.9999362342866681,0.14570611937907235,0.0,0.091,91,0,0.091,0.0,0.2289798395685184,0.4286598825118078,0.6257887919568976,0.024085730996797793,0.0,0.9999362342866681,0.9999362342866681,1.0,1.0,1.0,0.0,0.2289798395685184,91,0.6318324017135175,0.6318324017135175,0.0,0.0,0.0,0.0,0.0,0,0.6318324017135175,0.6318324017135175,0.0,0.0,0.0,0.0,0.0,0
