policy,seed,episodes,final_hold,success_rate,drop_rate,cart_hit_rate,action_saturation,max_abs_cart_x,angular_speed_near_target,brief_target_contact_rate,sustained_hold_rate,drop_after_contact_rate,reward_mean,episode_length_mean
pd_cart_center,0,20,0.48125,0.45,0.35,0.0,0.0,0.0016336721213227854,0.5394373092987178,1.0,1.0,0.35,37.470596373680394,200.0
pd_cart_center,1,20,0.4699999999999999,0.35,0.15,0.0,0.0,0.0014734447956022234,0.5538938540520968,1.0,1.0,0.15,42.96250964361389,200.0
pd_cart_center,2,20,0.19375,0.2,0.25,0.0,0.0,0.001723411837640649,0.6209298440005956,1.0,1.0,0.25,20.662705499898607,200.0
pd_cart_center,3,20,0.205,0.1,0.5,0.0,0.0,0.0024377008123197745,0.6978564875085842,1.0,1.0,0.5,-10.733932534011268,200.0
pd_cart_center,4,20,0.4425,0.35,0.1,0.0,0.0,0.001311044491808613,0.4867491735700765,1.0,1.0,0.1,53.884023080970834,200.0
pd_cart_center,5,20,0.27125,0.25,0.3,0.0,0.0,0.0018411086007794856,0.6256616228737866,1.0,1.0,0.3,16.18915672974277,200.0
pd_cart_center,6,20,0.39,0.2,0.15,0.0,0.0,0.0015449972800305046,0.549101246679762,1.0,1.0,0.15,32.71589814173321,200.0
pd_cart_center,7,20,0.21000000000000002,0.2,0.35,0.0,0.0,0.0021689688457893716,0.6467432357214695,1.0,1.0,0.35,10.02051829496986,200.0
pd_cart_center,8,20,0.36875,0.35,0.35,0.0,0.0,0.001818684185752312,0.5866350544891524,1.0,1.0,0.35,26.595201929026672,200.0
pd_cart_center,9,20,0.36374999999999996,0.25,0.35,0.0,0.0,0.0024113868274753467,0.6299438230654435,1.0,1.0,0.35,5.684634145697428,200.0
pd_upright,0,20,0.58875,0.45,0.25,0.0,0.0,0.10568228130566096,0.5316366748951211,1.0,1.0,0.25,53.498434491075066,200.0
pd_upright,1,20,0.56125,0.35,0.15,0.0,0.0,0.094649432536311,0.5976731031715696,1.0,1.0,0.15,42.59832043106151,200.0
pd_upright,2,20,0.4149999999999999,0.35,0.25,0.0,0.0,0.13140530847343695,0.636718593774111,1.0,1.0,0.25,31.370276373434717,200.0
pd_upright,3,20,0.4125,0.35,0.3,0.0,0.0,0.13781412414755828,0.6454182401392674,1.0,1.0,0.3,36.163276712337236,200.0
pd_upright,4,20,0.44125000000000003,0.3,0.1,0.0,0.0,0.1305296112121619,0.6233998752756988,1.0,1.0,0.1,52.07982663140275,200.0
pd_upright,5,20,0.48,0.4,0.3,0.0,0.0,0.12830519614590036,0.6129922916136474,1.0,1.0,0.3,41.72390821579439,200.0
pd_upright,6,20,0.45375000000000004,0.3,0.05,0.0,0.0,0.15369334814614655,0.6511546486834071,1.0,1.0,0.05,47.06488712306166,200.0
pd_upright,7,20,0.3625,0.3,0.5,0.0,0.0,0.14733150470198444,0.6888630393616693,1.0,1.0,0.5,4.918015720206179,200.0
pd_upright,8,20,0.41,0.25,0.35,0.0,0.0,0.11342374204222279,0.6693508620511446,1.0,1.0,0.35,15.743657739566867,200.0
pd_upright,9,20,0.53625,0.4,0.1,0.0,0.0,0.13631318082993754,0.6018528189057196,1.0,1.0,0.1,52.79394427832974,200.0
